AnnualPatients,BandwidthMbps,VesselWorkers,Reviewers,AnnualizedCompleted,AnalyticalCapacity,P95LatencySeconds,BottleneckOfferedUtilization,Sustainable,EvidencePending,ReviewPending,Generated
125000,5,1,2,128115,237219.798405296,129.969660000002,0.575324074074074,0,3,2,702
125000,5,1,4,128115,237219.798405296,129.969660000002,0.575324074074074,0,3,2,702
125000,5,1,8,128115,237219.798405296,129.969660000002,0.575324074074074,0,3,2,702
125000,5,1,16,128115,237219.798405296,129.969660000002,0.575324074074074,0,3,2,702
125000,5,2,1,128115,285652.173913043,193.045618993463,0.287662037037037,0,3,2,702
125000,5,2,2,128115,474439.596810591,129.969660000002,0.287662037037037,0,3,2,702
125000,5,2,4,128115,474439.596810591,129.969660000002,0.287662037037037,0,3,2,702
125000,5,2,8,128115,474439.596810591,129.969660000002,0.287662037037037,0,3,2,702
125000,5,2,16,128115,474439.596810591,129.969660000002,0.287662037037037,0,3,2,702
125000,5,4,1,128115,285652.173913043,193.045618993463,0.186111111111111,0,3,2,702
125000,5,4,2,128115,571304.347826087,129.969660000002,0.143831018518519,0,3,2,702
125000,5,4,4,128115,948879.193621183,129.969660000002,0.143831018518519,0,3,2,702
125000,5,4,8,128115,948879.193621183,129.969660000002,0.143831018518519,0,3,2,702
125000,5,4,16,128115,948879.193621183,129.969660000002,0.143831018518519,0,3,2,702
125000,5,8,1,128115,285652.173913043,193.045618993463,0.186111111111111,0,3,2,702
125000,5,8,2,128115,571304.347826087,129.969660000002,0.0930555555555556,0,3,2,702
125000,5,8,4,128115,1142608.69565217,129.969660000002,0.0719155092592593,0,3,2,702
125000,5,8,8,128115,1897758.38724237,129.969660000002,0.0719155092592593,0,3,2,702
125000,5,8,16,128115,1897758.38724237,129.969660000002,0.0719155092592593,0,3,2,702
125000,5,16,1,128115,285652.173913043,193.045618993463,0.186111111111111,0,3,2,702
125000,5,16,2,128115,571304.347826087,129.969660000002,0.0930555555555556,0,3,2,702
125000,5,16,4,128115,1142608.69565217,129.969660000002,0.0465277777777778,0,3,2,702
125000,5,16,8,128115,2285217.39130435,129.969660000002,0.0359577546296296,0,3,2,702
125000,5,16,16,128115,3795516.77448473,129.969660000002,0.0359577546296296,0,3,2,702
125000,10,1,1,128115,237219.798405296,189.045618993463,0.575324074074074,0,3,2,702
125000,10,1,2,128115,237219.798405296,125.969660000002,0.575324074074074,0,3,2,702
125000,10,1,4,128115,237219.798405296,125.969660000002,0.575324074074074,0,3,2,702
125000,10,1,8,128115,237219.798405296,125.969660000002,0.575324074074074,0,3,2,702
125000,10,1,16,128115,237219.798405296,125.969660000002,0.575324074074074,0,3,2,702
125000,10,2,1,128115,285652.173913043,189.045618993463,0.287662037037037,0,3,2,702
125000,10,2,2,128115,474439.596810591,125.969660000002,0.287662037037037,0,3,2,702
125000,10,2,4,128115,474439.596810591,125.969660000002,0.287662037037037,0,3,2,702
125000,10,2,8,128115,474439.596810591,125.969660000002,0.287662037037037,0,3,2,702
125000,10,2,16,128115,474439.596810591,125.969660000002,0.287662037037037,0,3,2,702
125000,10,4,1,128115,285652.173913043,189.045618993463,0.186111111111111,0,3,2,702
125000,10,4,2,128115,571304.347826087,125.969660000002,0.143831018518519,0,3,2,702
125000,10,4,4,128115,948879.193621183,125.969660000002,0.143831018518519,0,3,2,702
125000,10,4,8,128115,948879.193621183,125.969660000002,0.143831018518519,0,3,2,702
125000,10,4,16,128115,948879.193621183,125.969660000002,0.143831018518519,0,3,2,702
125000,10,8,1,128115,285652.173913043,189.045618993463,0.186111111111111,0,3,2,702
125000,10,8,2,128115,571304.347826087,125.969660000002,0.0930555555555556,0,3,2,702
125000,10,8,4,128115,1142608.69565217,125.969660000002,0.0719155092592593,0,3,2,702
125000,10,8,8,128115,1897758.38724237,125.969660000002,0.0719155092592593,0,3,2,702
125000,10,8,16,128115,1897758.38724237,125.969660000002,0.0719155092592593,0,3,2,702
125000,10,16,1,128115,285652.173913043,189.045618993463,0.186111111111111,0,3,2,702
125000,10,16,2,128115,571304.347826087,125.969660000002,0.0930555555555556,0,3,2,702
125000,10,16,4,128115,1142608.69565217,125.969660000002,0.0465277777777778,0,3,2,702
125000,10,16,8,128115,2285217.39130435,125.969660000002,0.0359577546296296,0,3,2,702
125000,10,16,16,128115,3795516.77448473,125.969660000002,0.0359577546296296,0,3,2,702
125000,25,1,1,128115,237219.798405296,186.645618993469,0.575324074074074,0,3,2,702
125000,25,1,2,128115,237219.798405296,123.569660000008,0.575324074074074,0,3,2,702
125000,25,1,4,128115,237219.798405296,123.569660000008,0.575324074074074,0,3,2,702
125000,25,1,8,128115,237219.798405296,123.569660000008,0.575324074074074,0,3,2,702
125000,25,1,16,128115,237219.798405296,123.569660000008,0.575324074074074,0,3,2,702
125000,25,2,1,128115,285652.173913043,186.645618993469,0.287662037037037,0,3,2,702
125000,25,2,2,128115,474439.596810591,123.569660000008,0.287662037037037,0,3,2,702
125000,25,2,4,128115,474439.596810591,123.569660000008,0.287662037037037,0,3,2,702
125000,25,2,8,128115,474439.596810591,123.569660000008,0.287662037037037,0,3,2,702
125000,25,2,16,128115,474439.596810591,123.569660000008,0.287662037037037,0,3,2,702
125000,25,4,1,128115,285652.173913043,186.645618993469,0.186111111111111,0,3,2,702
